p1,p2,p3,average I
0.55,0.5,0.0,0.0
0.55,0.5,0.05,0.0
0.55,0.5,0.1,0.0406124
0.55,0.5,0.15000000000000002,0.0823188
0.55,0.5,0.2,0.1273208
0.55,0.5,0.25,0.1626304
0.55,0.5,0.30000000000000004,0.1926884
0.55,0.5,0.35000000000000003,0.2203656
0.55,0.5,0.4,0.24002440000000003
0.55,0.5,0.45,0.2595212
0.55,0.5,0.5,0.276074
0.55,0.5,0.55,0.2913824
0.55,0.5,0.6000000000000001,0.303512
0.55,0.5,0.65,0.3126976
0.55,0.5,0.7000000000000001,0.32477
0.55,0.5,0.75,0.3351688
0.55,0.5,0.8,0.34164
0.55,0.5,0.8500000000000001,0.3509568
0.55,0.5,0.9,0.35786799999999996
0.55,0.5,0.9500000000000001,0.3632296
0.6000000000000001,0.5,0.0,0.0
0.6000000000000001,0.5,0.05,0.0
0.6000000000000001,0.5,0.1,0.055734799999999994
0.6000000000000001,0.5,0.15000000000000002,0.099356
0.6000000000000001,0.5,0.2,0.1406624
0.6000000000000001,0.5,0.25,0.1765264
0.6000000000000001,0.5,0.30000000000000004,0.2081372
0.6000000000000001,0.5,0.35000000000000003,0.2352944
0.6000000000000001,0.5,0.4,0.25793679999999997
0.6000000000000001,0.5,0.45,0.27746
0.6000000000000001,0.5,0.5,0.2947796
0.6000000000000001,0.5,0.55,0.3102408
0.6000000000000001,0.5,0.6000000000000001,0.3224352
0.6000000000000001,0.5,0.65,0.334316
0.6000000000000001,0.5,0.7000000000000001,0.3445112
0.6000000000000001,0.5,0.75,0.35339
0.6000000000000001,0.5,0.8,0.36286280000000004
0.6000000000000001,0.5,0.8500000000000001,0.36945479999999997
0.6000000000000001,0.5,0.9,0.37598159999999997
0.6000000000000001,0.5,0.9500000000000001,0.38394920000000005
0.65,0.5,0.0,0.0
0.65,0.5,0.05,0.0
0.65,0.5,0.1,0.0627592
0.65,0.5,0.15000000000000002,0.1113116
0.65,0.5,0.2,0.1518776
0.65,0.5,0.25,0.18848399999999998
0.65,0.5,0.30000000000000004,0.22088000000000002
0.65,0.5,0.35000000000000003,0.2483112
0.65,0.5,0.4,0.2713368
0.65,0.5,0.45,0.2921204
0.65,0.5,0.5,0.3095308
0.65,0.5,0.55,0.3247624
0.65,0.5,0.6000000000000001,0.339136
0.65,0.5,0.65,0.350206
0.65,0.5,0.7000000000000001,0.36156520000000003
0.65,0.5,0.75,0.3684008
0.65,0.5,0.8,0.3779804
0.65,0.5,0.8500000000000001,0.387508
0.65,0.5,0.9,0.3945368
0.65,0.5,0.9500000000000001,0.4013156
0.7000000000000001,0.5,0.0,0.0
0.7000000000000001,0.5,0.05,0.0
0.7000000000000001,0.5,0.1,0.069742
0.7000000000000001,0.5,0.15000000000000002,0.1170708
0.7000000000000001,0.5,0.2,0.16015
0.7000000000000001,0.5,0.25,0.1981164
0.7000000000000001,0.5,0.30000000000000004,0.23267559999999998
0.7000000000000001,0.5,0.35000000000000003,0.25847919999999996
0.7000000000000001,0.5,0.4,0.2836348
0.7000000000000001,0.5,0.45,0.30341999999999997
0.7000000000000001,0.5,0.5,0.3229144
0.7000000000000001,0.5,0.55,0.3364684
0.7000000000000001,0.5,0.6000000000000001,0.3516412
0.7000000000000001,0.5,0.65,0.36440520000000004
0.7000000000000001,0.5,0.7000000000000001,0.37585599999999997
0.7000000000000001,0.5,0.75,0.3848768
0.7000000000000001,0.5,0.8,0.3923076
0.7000000000000001,0.5,0.8500000000000001,0.4016412
0.7000000000000001,0.5,0.9,0.40823960000000004
